POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
202-01610,-,0,Yellow,SS,N,N,SFMTA,ON,0,161,02ND ST,134000,Area 5,Downtown,"(37.7870046020, -122.3984053002)"
350-03090,-,0,Yellow,SS,N,N,SFMTA,ON,0,309,CALIFORNIA ST,3527000,Area 5,Downtown,"(37.7930918978, -122.4002832991)"
568-00040,-,0,Yellow,SS,Y,N,SFMTA,ON,0,4,MISSION ST,9082000,Area 5,Downtown,"(37.7936185998, -122.3928442986)"
658-00030,-,0,Yellow,SS,N,N,SFMTA,ON,0,3,SPEAR ST,12044000,Area 5,Downtown,"(37.7936911982, -122.3953761027)"
203-00560,-,0,Red,SS,N,N,SFMTA,ON,0,56,03RD ST,165000,Area 5,Downtown,"(37.7863738974, -122.4023157989)"
568-25130,-,0,Grey,SS,Y,N,SFMTA,ON,0,2513,MISSION ST,9123000,Area 5,Mission,"(37.7565634017, -122.4187635013)"
568-25360,-,0,Grey,SS,Y,N,SFMTA,ON,0,2536,MISSION ST,9123000,Area 5,Mission,"(37.7559072998, -122.4188827981)"
665-01090,-,0,Yellow,SS,Y,N,SFMTA,ON,0,109,STEUART ST,12159000,Area 5,Downtown,"(37.7931112991, -122.3928865992)"
606-03360,-,0,Yellow,SS,N,N,SFMTA,ON,0,336,PINE ST,10458002,Area 5,Downtown,"(37.7920065978, -122.4021458977)"
651-01140,-,0,Yellow,SS,N,N,SFMTA,ON,0,114,SANSOME ST,11543000,Area 5,Downtown,"(37.7916414988, -122.4007624981)"
418-03220,-,0,Grey,SS,N,N,SFMTA,ON,0,322,FOLSOM ST,5653000,Area 5,South Embarcadero,"(37.7882871003, -122.3933808018)"
418-04110,-,0,Grey,SS,N,N,SFMTA,ON,0,411,FOLSOM ST,5655000,Area 5,South Embarcadero,"(37.7876962990, -122.3938221985)"
359-01040,-,0,Grey,SS,Y,N,SFMTA,ON,0,104,CLAY ST,4080000,Area 5,Downtown,"(37.7954751019, -122.3970629998)"
359-01080,-,0,Grey,SS,Y,N,SFMTA,ON,0,108,CLAY ST,4080000,Area 5,Downtown,"(37.7954593998, -122.3971859009)"
666-00340,-,0,Yellow,SS,N,N,SFMTA,ON,0,34,SUTTER ST,12316000,Area 5,Downtown,"(37.7901319013, -122.4018847008)"
328-01620,-,0,Yellow,SS,N,N,SFMTA,ON,0,162,BEALE ST,2864000,Area 5,Downtown,"(37.7900267978, -122.3945536983)"
204-06150,-,0,Grey,SS,Y,N,SFMTA,ON,0,615,04TH ST,265000,Area 5,South Embarcadero,"(37.7780205988, -122.3959836007)"
582-01090,-,0,Red,SS,N,N,SFMTA,ON,0,109,NEW MONTGOMERY ST,9544000,Area 5,Downtown,"(37.7872291979, -122.4001538993)"
470-04100,-,0,Grey,SS,N,N,SFMTA,ON,0,410,HOWARD ST,7032000,Area 5,Downtown,"(37.7889975795, -122.3955712803)"
202-06570,-,0,Grey,SS,Y,N,SFMTA,ON,0,657,02ND ST,147000,Area 5,South Embarcadero,"(37.7808024016, -122.3906207026)"
606-04080,-,0,Yellow,SS,N,N,SFMTA,ON,0,408,PINE ST,10460000,Area 5,Downtown,"(37.7919061993, -122.4030012988)"
568-23230,-,0,Grey,SS,Y,N,SFMTA,ON,0,2323,MISSION ST,9121000,Area 5,Mission,"(37.7595318024, -122.4190475975)"
701-19160,-,0,Green,SS,N,N,SFMTA,ON,0,1916,VAN NESS AVE,13161201,Area 3,,"(37.7935916995, -122.4228164979)"
720-16330,-,0,Grey,SS,N,N,SFMTA,ON,0,1633,WASHINGTON ST,13431000,Area 3,,"(37.7933129006, -122.4204137975)"
700-07590,-,0,Grey,SS,Y,N,SFMTA,ON,0,759,VALENCIA ST,13064000,Area 5,Mission,"(37.7605043993, -122.4213553981)"
720-02040,720-02002,4,Grey,MS,Y,N,SFMTA,ON,0,204,WASHINGTON ST,13405000,Area 5,Downtown,"(37.7961983987, -122.3984419012)"
725-03460,-,0,Grey,SS,N,N,SFMTA,ON,0,346,WEST PORTAL AVE,13579201,Area 3,,"(37.7373784993, -122.4699473025)"
705-02280,-,0,Grey,SS,N,N,SFMTA,ON,0,228,VALLEJO ST,13083000,Area 3,,"(37.7994636026, -122.4022884012)"
600-17210,-,0,Grey,SS,N,N,SFMTA,ON,0,1721,PACIFIC AVE,10148000,Area 3,,"(37.7946633984, -122.4240108018)"
