name,brand,price,weight,height,bestuse,seasons,capacity
rei-camp-dome-4-tent,rei,199,4280.8,157,Carcamping,3-season,4-person
big-agnes-king-creek-4-tent,big-agnes,349.95,6151.9,127,Carcamping,3-season,4-person
rei-hobitat-6-tent,rei,319,8476.5,183,Carcamping,3-season,6-person
big-agnes-flying-diamond-4-tent,big-agnes,339.95,4054,142,Carcamping,4-season,4-person
nemo-asashi-4p-tent,nemo,429.95,4762.7,152,Carcamping,3-season,4-person
kelty-trail-ridge-6-tent,kelty,289.95,6265.2,180,Carcamping,3-season,6-person
msr-backcountry-barn-tent,msr,699.95,6662.1,190,Carcamping,3-season,4-person
north-face-mountain-manor-6-tent,north-face,529,9383.7,188,Carcamping,3-season,6-person
kelty-trail-ridge-4-tent,kelty,199.95,4734.4,150,Carcamping,3-season,4-person
kelty-hula-house-6-tent,kelty,399.95,8306.4,193,Carcamping,3-season,6-person
north-face-docking-station-tent,north-face,429,6718.8,175,Carcamping,3-season,6-person
marmot-hacienda-6p-tent,marmot,599,9553.8,203,Carcamping,3-season,6-person
kelty-hula-house-4-tent,kelty,299.95,5414.8,183,Carcamping,3-season,4-person
